horizon,coefficient,std_error,n_obs,measure,panel_file,t_pre
10,1.9521532815521982,0.20801838495310612,46319,default_distance,mTransitionPanel_84.csv,84
11,1.7294530729829856,0.1897568689531481,44971,default_distance,mTransitionPanel_84.csv,84
12,NA,NA,43660,default_distance,mTransitionPanel_84.csv,84
13,NA,NA,42383,default_distance,mTransitionPanel_84.csv,84
0,-0.34789269546823276,0.062258471677682815,64749,leverage,mTransitionPanel_92.csv,92
1,-0.6412870847022739,0.09418430391938466,62986,leverage,mTransitionPanel_92.csv,92
2,-0.9332564923547358,0.13628217456183025,61273,leverage,mTransitionPanel_92.csv,92
3,-1.1732649929015944,0.16030283060444817,59594,leverage,mTransitionPanel_92.csv,92
4,-1.3990743313831597,0.185799013637793,57945,leverage,mTransitionPanel_92.csv,92
5,-1.6822048647962722,0.21974818800135004,56349,leverage,mTransitionPanel_92.csv,92
6,-1.8538917212533748,0.2259597684760658,54791,leverage,mTransitionPanel_92.csv,92
7,-2.0031592049501317,0.23497681146119695,53284,leverage,mTransitionPanel_92.csv,92
8,-2.165829294886854,0.25536053693321603,51813,leverage,mTransitionPanel_92.csv,92
9,-2.158113030635408,0.24612432806129714,50380,leverage,mTransitionPanel_92.csv,92
10,-2.0217679439508744,0.2677403246809014,48983,leverage,mTransitionPanel_92.csv,92
11,-1.74072955092631,0.2865710010957706,47622,leverage,mTransitionPanel_92.csv,92
12,NA,NA,46288,leverage,mTransitionPanel_92.csv,92
13,NA,NA,44988,leverage,mTransitionPanel_92.csv,92
0,0.35087801170001875,0.062397045941678275,64749,default_distance,mTransitionPanel_92.csv,92
1,0.6441353110656771,0.09432404147218133,62986,default_distance,mTransitionPanel_92.csv,92
2,0.9362569772233108,0.1364672359583352,61273,default_distance,mTransitionPanel_92.csv,92
3,1.1764743161631124,0.16058287663866583,59594,default_distance,mTransitionPanel_92.csv,92
4,1.4022986627662979,0.18613675909102276,57945,default_distance,mTransitionPanel_92.csv,92
5,1.6854991528314425,0.22010958281157741,56349,default_distance,mTransitionPanel_92.csv,92
6,1.8573785788545465,0.22633260759323728,54791,default_distance,mTransitionPanel_92.csv,92
